HOME	Episode Date	Episode Type	Episode Title	Episode Topic	Episode Topic	Section 1	Section 2	Section 3	Section 4	Conclusion	Status	Optimized Title	Optimized Description	Optimized Script	Optimized Tags
61	02/05/2025	Friday Healing	Cognitive Behavioral Therapy: Changing Unhelpful Thought Patterns	Changing Thought Patterns with Cognitive Behavioral Therapy	Introduction to Changing Thought Patterns with Cognitive Behavioral Therapy	Detailed explanation of Changing Thought Patterns with Cognitive Behavioral Therapy	Discuss real - life examples or listener stories about Changing Thought Patterns with Cognitive Behavioral Therapy	Provide research, tools, or techniques for better management of Changing Thought Patterns with Cognitive Behavioral Therapy	Suggest resources or next steps for continued growth regarding Changing Thought Patterns with Cognitive Behavioral Therapy	Encourage listeners to stay tuned for future episodes. Next episode will be Using Gratitude Practices for Emotional Healing	PUBLISHED				
62	05/05/2025	Main Podcast	CPTSD Recovery: Progress Isn't Linear	Understanding Non-Linear Recovery in CPTSD	Introduction to Understanding Non - Linear Recovery in CPTSD	Detailed explanation of Understanding Non - Linear Recovery in CPTSD	Discuss real - life examples or listener stories about Understanding Non - Linear Recovery in CPTSD	Provide research, tools, or techniques for better management of Understanding Non - Linear Recovery in CPTSD	Suggest resources or next steps for continued growth regarding Understanding Non - Linear Recovery in CPTSD	Encourage listeners to stay tuned for future episodes. Next episode will be Grounding During Difficult Conversations	PUBLISHED				
63	09/05/2025	Friday Healing	Developing a Morning Routine to Ease CPTSD Symptoms	Building a Morning Routine for CPTSD	Introduction to Building a Morning Routine for CPTSD	Detailed explanation of Building a Morning Routine for CPTSD	Discuss real - life examples or listener stories about Building a Morning Routine for CPTSD	Provide research, tools, or techniques for better management of Building a Morning Routine for CPTSD	Suggest resources or next steps for continued growth regarding Building a Morning Routine for CPTSD	Encourage listeners to stay tuned for future episodes. Next episode will be Building Trust in Yourself and Others	PUBLISHED				
64	12/05/2025	Main Podcast	The Role of Nutrition in Healing from Trauma	The Role of Nutrition in Healing Trauma	Introduction to The Role of Nutrition in Healing Trauma	Detailed explanation of The Role of Nutrition in Healing Trauma	Discuss real - life examples or listener stories about The Role of Nutrition in Healing Trauma	Provide research, tools, or techniques for better management of The Role of Nutrition in Healing Trauma	Suggest resources or next steps for continued growth regarding The Role of Nutrition in Healing Trauma	Encourage listeners to stay tuned for future episodes. Next episode will be Meditation Practices for Emotional Healing	PUBLISHED				
65	16/05/2025	Friday Healing	Mindfulness for Managing CPTSD Symptoms	Using Mindfulness to Manage CPTSD Symptoms	Introduction to Using Mindfulness to Manage CPTSD Symptoms	Detailed explanation of Using Mindfulness to Manage CPTSD Symptoms	Discuss real - life examples or listener stories about Using Mindfulness to Manage CPTSD Symptoms	Provide research, tools, or techniques for better management of Using Mindfulness to Manage CPTSD Symptoms	Suggest resources or next steps for continued growth regarding Using Mindfulness to Manage CPTSD Symptoms	Encourage listeners to stay tuned for future episodes. Next episode will be Overcoming Nightmares: Tools for Peaceful Sleep	PUBLISHED				
66	02/06/2025	Main Podcast	Healing Through Social Connection	Healing Through Social Connections and Support	Introduction to Healing Through Social Connections and Support	Detailed explanation of Healing Through Social Connections and Support	Discuss real - life examples or listener stories about Healing Through Social Connections and Support	Provide research, tools, or techniques for better management of Healing Through Social Connections and Support	Suggest resources or next steps for continued growth regarding Healing Through Social Connections and Support	Encourage listeners to stay tuned for future episodes. Next episode will be Handling Emotional Numbness	PUBLISHED				
67	06/06/2025	Friday Healing	Breathing Exercises for Panic Attacks	Using Breathing Techniques for Panic Attacks	Introduction to Using Breathing Techniques for Panic Attacks	Detailed explanation of Using Breathing Techniques for Panic Attacks	Discuss real - life examples or listener stories about Using Breathing Techniques for Panic Attacks	Provide research, tools, or techniques for better management of Using Breathing Techniques for Panic Attacks	Suggest resources or next steps for continued growth regarding Using Breathing Techniques for Panic Attacks	Encourage listeners to stay tuned for future episodes. Next episode will be Relating to Loved Ones: CPTSD and Communication	PUBLISHED				
68	09/06/2025	Main Podcast	CPTSD and Sleep: Establishing a Night Routine	Establishing a Night Routine for Better Sleep	Introduction to Establishing a Night Routine for Better Sleep	Detailed explanation of Establishing a Night Routine for Better Sleep	Discuss real - life examples or listener stories about Establishing a Night Routine for Better Sleep	Provide research, tools, or techniques for better management of Establishing a Night Routine for Better Sleep	Suggest resources or next steps for continued growth regarding Establishing a Night Routine for Better Sleep	Encourage listeners to stay tuned for future episodes. Next episode will be Guided Breathing for Night - Time Anxiety	PUBLISHED				
69	13/06/2025	Friday Healing	Grounding Techniques for Long Term Recovery	Long-Term Grounding Techniques for CPTSD Recovery	Introduction to Long - Term Grounding Techniques for CPTSD Recovery	Detailed explanation of Long - Term Grounding Techniques for CPTSD Recovery	Discuss real - life examples or listener stories about Long - Term Grounding Techniques for CPTSD Recovery	Provide research, tools, or techniques for better management of Long - Term Grounding Techniques for CPTSD Recovery	Suggest resources or next steps for continued growth regarding Long - Term Grounding Techniques for CPTSD Recovery	Encourage listeners to stay tuned for future episodes. Next episode will be Overcoming Self - Doubt: Strategies for CPTSD	PUBLISHED				
70	16/06/2025	Main Podcast	Recognizing and Reducing Hypervigilance	Reducing Hypervigilance in Trauma Recovery	Introduction to Reducing Hypervigilance in Trauma Recovery	Detailed explanation of Reducing Hypervigilance in Trauma Recovery	Discuss real - life examples or listener stories about Reducing Hypervigilance in Trauma Recovery	Provide research, tools, or techniques for better management of Reducing Hypervigilance in Trauma Recovery	Suggest resources or next steps for continued growth regarding Reducing Hypervigilance in Trauma Recovery	Encourage listeners to stay tuned for future episodes. Next episode will be Creative Expression in Healing from CPTSD	PUBLISHED				
71	20/06/2025	Friday Healing	Trauma Recovery: Understanding Your Triggers	Understanding Triggers in Trauma Recovery	Introduction to Understanding Triggers in Trauma Recovery	Detailed explanation of Understanding Triggers in Trauma Recovery	Discuss real - life examples or listener stories about Understanding Triggers in Trauma Recovery	Provide research, tools, or techniques for better management of Understanding Triggers in Trauma Recovery	Suggest resources or next steps for continued growth regarding Understanding Triggers in Trauma Recovery	Encourage listeners to stay tuned for future episodes. Next episode will be Managing Triggers in Public Spaces	PUBLISHED				
72	23/06/2025	Main Podcast	Developing Emotional Resilience with CPTSD	Developing Emotional Resilience with CPTSD	Introduction to Developing Emotional Resilience with CPTSD	Detailed explanation of Developing Emotional Resilience with CPTSD	Discuss real - life examples or listener stories about Developing Emotional Resilience with CPTSD	Provide research, tools, or techniques for better management of Developing Emotional Resilience with CPTSD	Suggest resources or next steps for continued growth regarding Developing Emotional Resilience with CPTSD	Encourage listeners to stay tuned for future episodes. Next episode will be Long - Term Breathing Techniques for Anxiety Relief	PUBLISHED				
73	27/06/2025	Friday Healing	Healing Through Gratitude Practices	Using Gratitude Practices for Emotional Healing	Introduction to Using Gratitude Practices for Emotional Healing	Detailed explanation of Using Gratitude Practices for Emotional Healing	Discuss real - life examples or listener stories about Using Gratitude Practices for Emotional Healing	Provide research, tools, or techniques for better management of Using Gratitude Practices for Emotional Healing	Suggest resources or next steps for continued growth regarding Using Gratitude Practices for Emotional Healing	Encourage listeners to stay tuned for future episodes. Next episode will be Setting Realistic Expectations in CPTSD Recovery	PUBLISHED				
74	30/06/2025	Main Podcast	Staying Grounded Through Difficult Conversations	Grounding During Difficult Conversations	Introduction to Grounding During Difficult Conversations	Detailed explanation of Grounding During Difficult Conversations	Discuss real - life examples or listener stories about Grounding During Difficult Conversations	Provide research, tools, or techniques for better management of Grounding During Difficult Conversations	Suggest resources or next steps for continued growth regarding Grounding During Difficult Conversations	Encourage listeners to stay tuned for future episodes. Next episode will be Journaling as a Healing Tool for CPTSD	PUBLISHED				
75	04/07/2025	Friday Healing	CPTSD: Building Trust with Yourself and Others	Building Trust in Yourself and Others	Introduction to Building Trust in Yourself and Others	Detailed explanation of Building Trust in Yourself and Others	Discuss real - life examples or listener stories about Building Trust in Yourself and Others	Provide research, tools, or techniques for better management of Building Trust in Yourself and Others	Suggest resources or next steps for continued growth regarding Building Trust in Yourself and Others	Encourage listeners to stay tuned for future episodes. Next episode will be Creating Safe Spaces at Home for Trauma Recovery	PUBLISHED				
76	07/07/2025	Main Podcast	Exploring Meditation Practices for Emotional Healing	Meditation Practices for Emotional Healing	Introduction to Meditation Practices for Emotional Healing	Detailed explanation of Meditation Practices for Emotional Healing	Discuss real - life examples or listener stories about Meditation Practices for Emotional Healing	Provide research, tools, or techniques for better management of Meditation Practices for Emotional Healing	Suggest resources or next steps for continued growth regarding Meditation Practices for Emotional Healing	Encourage listeners to stay tuned for future episodes. Next episode will be Using Visualization to Calm Panic Attacks	PUBLISHED				
